,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Ambos sexos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,"17,512","17,994","18,493","18,624","19,143","19,681","20,242","20,821","21,427","22,054","22,703","23,375","24,068","24,782","25,514","26,259","27,016","27,789","28,580","29,393","30,216","31,064","31,936","32,827","33,759","34,703","35,680","36,680","37,712","38,778","39,885","41,000","42,130","43,245","44,344","45,402","46,422","47,384","48,297","49,146","49,950","50,699","51,420","52,123","53,003","54,103","55,465","56,899","58,350","59,786","61,231","62,755","64,449","66,532","68,505","70,530","72,722","75,082","77,600","80,229","82,961","85,776","88,659","91,594","94,558","97,596","100,755","103,809","107,588","111,646","115,969","120,549","125,411","130,474","135,666","140,881","146,305","151,526","156,773","162,017","167,273","172,583","178,018","183,674","189,845","196,329","203,332","210,778","218,600","226,674","234,815","242,818","250,515","257,733","264,317","270,234","275,504","279,917","283,550","286,583","293,635"
53,"16,693","17,153","17,630","18,125","18,259","18,773","19,307","19,863","20,437","21,037","21,657","22,299","22,962","23,644","24,342","25,051","25,771","26,506","27,253","28,016","28,801","29,596","30,420","31,269","32,142","33,052","33,977","34,942","35,942","36,982","38,063","39,183","40,307","41,436","42,547","43,641","44,693","45,708","46,666","47,573","48,413","49,203","49,932","50,631","51,449","52,455","53,698","55,067","56,505","57,957","59,393","60,838","62,358","63,962","65,950","67,828","69,834","72,006","74,346","76,844","79,452","82,163","84,957","87,817","90,728","93,670","96,686","99,821","102,864","106,627","110,673","114,982","119,547","124,392","129,438","134,612","139,808","145,214","150,417","155,647","160,874","166,113","171,405","176,823","182,461","188,611","195,073","202,050","209,470","217,264","225,308","233,420","241,395","249,068","256,265","262,832","268,735","273,995","278,404","282,037","285,072"
54,"15,894","16,333","16,788","17,260","17,750","17,887","18,396","18,924","19,475","20,043","20,636","21,249","21,881","22,532","23,196","23,870","24,551","25,246","25,954","26,670","27,403","28,158","28,926","29,726","30,556","31,405","32,296","33,209","34,173","35,183","36,240","37,336","38,465","39,590","40,713","41,818","42,905","43,951","44,961","45,912","46,808","47,632","48,399","49,103","49,893","50,814","51,938","53,188","54,562","56,003","57,457","58,895","60,342","61,808","63,346","65,265","67,127","69,117","71,275","73,600","76,081","78,672","81,365","84,140","86,981","89,872","92,797","95,793","98,919","101,948","105,696","109,726","114,018","118,564","123,388","128,413","133,566","138,741","144,124","149,307","154,517","159,723","164,942","170,215","175,613","181,230","187,357","193,795","200,744","208,135","215,898","223,911","231,992","239,937","247,584","254,757","261,306","267,194","272,443","276,846","280,478"
55 a 59,"68,140","70,026","71,979","74,014","76,128","78,324","80,240","82,233","84,304","86,453","88,685","91,324","94,048","96,855","99,710","102,582","105,463","108,380","111,327","114,303","117,313","120,374","123,516","126,762","130,146","133,663","137,328","141,187","145,293","149,696","154,412","159,412","164,643","170,027","175,482","180,972","186,455","191,903","197,261","202,497","207,535","212,312","216,754","220,859","224,836","228,909","233,299","238,055","243,280","249,059","255,374","262,153","269,261","276,649","284,032","291,408","299,124","307,199","315,837","325,200","335,372","346,104","357,549","369,673","382,400","395,628","409,254","423,192","437,490","452,063","466,786","482,334","498,964","516,864","536,165","557,220","579,534","602,956","627,249","652,374","677,855","703,522","729,249","755,027","780,711","806,617","832,935","860,174","888,624","918,735","950,813","985,003","1,021,049","1,058,712","1,097,356","1,136,250","1,174,570","1,211,458","1,246,203","1,278,311","1,307,242"
55,"15,115","15,532","15,964","16,416","16,882","17,367","17,506","18,009","18,532","19,076","19,638","20,222","20,825","21,445","22,077","22,714","23,358","24,013","24,679","25,353","26,037","26,738","27,464","28,208","28,986","29,792","30,621","31,499","32,413","33,388","34,417","35,489","36,597","37,725","38,844","39,960","41,057","42,137","43,176","44,178","45,116","45,994","46,793","47,533","48,297","49,163","50,172","51,303","52,559","53,937","55,383","56,844","58,289","59,719","61,151","62,652","64,557","66,407","68,388","70,535","72,849","75,316","77,893","80,571","83,332","86,157","89,032","91,940","94,932","98,041","101,056","104,785","108,795","113,065","117,588","122,388","127,389","132,516","137,667","143,025","148,184","153,371","158,553","163,750","169,001","174,376","179,970","186,071","192,482","199,401","206,761","214,490","222,469","230,516","238,430","246,048","253,196","259,724","265,595","270,832","275,229"
56,"14,353","14,750","15,161","15,588","16,035","16,496","16,975","17,116","17,613","18,129","18,666","19,219","19,793","20,384","20,984","21,587","22,192","22,810","23,434","24,067","24,706","25,357","26,029","26,729","27,451","28,205","28,990","29,807","30,685","31,612","32,606","33,651","34,735","35,842","36,963","38,074","39,181","40,270","41,342","42,371","43,359","44,276","45,127","45,898","46,670","47,482","48,406","49,423","50,561","51,824","53,210","54,667","56,139","57,600","59,021","60,443","61,935","63,830","65,676","67,651","69,791","72,096","74,553","77,119","79,785","82,534","85,346","88,207","91,114","94,086","97,177","100,174","103,880","107,865","112,110","116,606","121,378","126,351","131,449","136,573","141,902","147,034","152,195","157,350","162,523","167,748","173,099","178,667","184,739","191,120","198,006","205,332","213,024","220,967","228,977","236,856","244,444","251,564","258,069","263,922","269,146"
57,"13,610","13,987","14,377","14,783","15,205","15,645","16,101","16,573","16,715","17,206","17,714","18,242","18,784","19,346","19,917","20,489","21,060","21,638","22,226","22,817","23,416","24,023","24,644","25,291","25,969","26,667","27,401","28,174","28,992","29,882","30,827","31,836","32,892","33,974","35,074","36,185","37,286","38,385","39,464","40,526","41,540","42,506","43,395","44,217","44,993","45,785","46,629","47,561","48,587","49,734","51,008","52,407","53,879","55,395","56,866","58,296","59,713","61,201","63,094","64,939","66,912","69,047","71,347","73,796","76,354","79,012","81,751","84,550","87,413","90,297","93,247","96,315","99,291","102,971","106,928","111,143","115,610","120,350","125,291","130,358","135,450","140,747","145,849","150,981","156,108","161,252","166,449","171,773","177,312","183,353","189,702","196,552","203,840","211,494","219,397","227,367","235,209","242,763","249,854","256,334","262,167"
58,"12,885","13,242","13,612","13,997","14,397","14,813","15,246","15,697","16,162","16,303","16,787","17,286","17,803","18,333","18,874","19,418","19,961","20,506","21,056","21,612","22,172","22,741","23,320","23,918","24,544","25,198","25,878","26,600","27,374","28,203","29,109","30,067","31,085","32,138","33,211","34,301","35,401","36,492","37,580","38,648","39,694","40,686","41,624","42,485","43,301","44,086","44,899","45,752","46,694","47,731","48,890","50,179","51,593","53,114","54,642","56,127","57,551","58,968","60,461","62,355","64,202","66,176","68,309","70,606","73,051","75,604","78,255","80,983","83,786","86,622","89,481","92,405","95,447","98,399","102,050","105,975","110,158","114,592","119,297","124,204","129,236","134,293","139,555","144,625","149,724","154,821","159,934","165,100","170,394","175,903","181,910","188,224","195,035","202,283","209,895","217,755","225,683","233,486","241,003","248,062","254,515"
59,"12,177","12,515","12,865","13,230","13,609","14,003","14,412","14,838","15,282","15,739","15,880","16,355","16,843","17,347","17,858","18,374","18,892","19,413","19,932","20,454","20,982","21,515","22,059","22,616","23,196","23,801","24,438","25,107","25,829","26,611","27,453","28,369","29,334","30,348","31,390","32,452","33,530","34,619","35,699","36,774","37,826","38,850","39,815","40,726","41,575","42,393","43,193","44,016","44,879","45,833","46,883","48,056","49,361","50,821","52,352","53,890","55,368","56,793","58,218","59,720","61,618","63,469","65,447","67,581","69,878","72,321","74,870","77,512","80,245","83,017","85,825","88,655","91,551","94,564","97,489","101,108","104,999","109,147","113,545","118,214","123,083","128,077","133,097","138,321","143,355","148,420","153,483","158,563","163,697","168,958","174,434","180,405","186,681","193,452","200,657","208,224","216,038","223,921","231,682","239,161","246,185"
60 a 64,"51,221","52,532","53,903","55,387","56,934","58,548","60,274","62,066","63,929","65,866","67,873","69,626","71,440","73,309","75,220","77,158","79,405","81,680","83,972","86,269","88,566","90,875","93,203","95,573","98,004","100,504","103,096","105,821","108,723","111,855","115,257","118,933","122,895","127,116","131,571","136,228","141,066","146,037","151,122","156,260","161,419","166,540","171,566","176,437","181,021","185,342","189,510","193,678","197,890","202,167","206,611","211,317","216,417","222,204","228,544","235,393","242,555","249,929","257,420","264,923","272,438","280,345","288,629","297,448","306,950","317,212","328,000","339,425","351,521","364,004","376,808","389,872","403,155","416,664","430,464","444,431","459,216","475,059","492,137","510,574","530,708","552,068","574,514","597,819","621,938","646,423","671,114","695,889","720,735","745,514","770,530","795,967","822,316","849,854","879,008","910,074","943,189","978,111","1,014,604","1,052,070","1,089,804"
60,"11,542","11,805","12,137","12,481","12,840","13,213","13,600","14,002","14,420","14,856","15,304","15,444","15,909","16,385","16,871","17,360","17,853","18,351","18,849","19,345","19,842","20,347","20,859","21,384","21,925","22,487","23,076","23,703","24,371","25,098","25,890","26,738","27,657","28,616","29,620","30,649","31,700","32,765","33,841","34,908","35,966","36,997","37,996","38,935","39,830","40,674","41,502","42,311","43,145","44,020","44,988","46,053","47,240","48,587","50,051","51,586","53,116","54,595","56,030","57,467","58,980","60,884","62,741","64,725","66,862","69,161","71,603","74,144","76,792","79,492","82,231","85,007","87,805","90,671","93,653","96,549","100,134","103,989","108,099","112,458","117,088","121,915","126,869","131,849","137,032","142,029","147,056","152,084","157,129","162,228","167,454","172,894","178,826","185,063","191,790","198,949","206,468","214,233","222,069","229,785","237,222"
61,"10,866","11,167","11,426","11,752","12,089","12,442","12,807","13,187","13,582","13,991","14,418","14,857","14,995","15,447","15,907","16,373","16,844","17,319","17,798","18,275","18,750","19,228","19,714","20,211","20,721","21,247","21,794","22,375","22,998","23,669","24,401","25,197","26,046","26,958","27,905","28,897","29,913","30,950","32,002","33,063","34,113","35,151","36,158","37,133","38,037","38,905","39,738","40,576","41,396","42,242","43,132","44,117","45,199","46,437","47,796","49,270","50,797","52,328","53,818","55,266","56,716","58,242","60,153","62,018","64,009","66,150","68,451","70,888","73,434","76,045","78,710","81,414","84,155","86,919","89,753","92,703","95,568","99,116","102,932","107,002","111,320","115,907","120,691","125,601","130,539","135,679","140,636","145,623","150,613","155,620","160,682","165,870","171,273","177,164","183,358","190,038","197,148","204,616","212,330","220,115","227,783"
62,"10,206","10,490","10,785","11,039","11,359","11,689","12,035","12,393","12,764","13,152","13,552","13,968","14,396","14,530","14,967","15,409","15,859","16,314","16,772","17,233","17,692","18,149","18,611","19,083","19,567","20,063","20,577","21,114","21,691","22,315","22,989","23,723","24,517","25,358","26,259","27,192","28,171","29,172","30,194","31,231","32,275","33,305","34,320","35,303","36,227","37,088","37,928","38,770","39,618","40,451","41,313","42,221","43,224","44,368","45,626","47,002","48,467","49,994","51,538","53,042","54,505","55,969","57,509","59,428","61,302","63,301","65,446","67,743","70,186","72,693","75,266","77,893","80,560","83,265","85,993","88,793","91,710","94,542","98,051","101,826","105,854","110,128","114,670","119,408","124,272","129,165","134,260","139,174","144,119","149,068","154,035","159,058","164,207","169,570","175,418","181,566","188,197","195,256","202,669","210,329","218,059"
63,"9,618","9,830","10,108","10,396","10,646","10,959","11,281","11,619","11,969","12,331","12,710","13,100","13,505","13,920","14,048","14,468","14,896","15,330","15,770","16,210","16,654","17,096","17,537","17,986","18,446","18,916","19,400","19,905","20,438","21,016","21,641","22,314","23,045","23,831","24,660","25,547","26,466","27,431","28,416","29,422","30,442","31,465","32,472","33,463","34,386","35,258","36,082","36,930","37,782","38,642","39,491","40,372","41,300","42,371","43,539","44,818","46,186","47,652","49,193","50,751","52,269","53,748","55,228","56,783","58,711","60,596","62,602","64,745","67,050","69,452","71,919","74,452","77,038","79,667","82,334","85,026","87,790","90,671","93,470","96,938","100,671","104,654","108,883","113,378","118,067","122,883","127,729","132,777","137,646","142,547","147,453","152,378","157,361","162,468","167,789","173,591","179,692","186,271","193,276","200,632","208,234"
64,"8,988","9,240","9,447","9,719","10,000","10,245","10,551","10,865","11,194","11,536","11,889","12,257","12,635","13,027","13,427","13,548","13,953","14,366","14,783","15,206","15,628","16,055","16,482","16,909","17,345","17,791","18,249","18,724","19,225","19,757","20,336","20,961","21,630","22,353","23,127","23,943","24,816","25,719","26,669","27,636","28,623","29,622","30,620","31,603","32,541","33,417","34,260","35,091","35,949","36,812","37,687","38,554","39,454","40,441","41,532","42,717","43,989","45,360","46,841","48,397","49,968","51,502","52,998","54,494","56,066","58,004","59,898","61,905","64,059","66,322","68,682","71,106","73,597","76,142","78,731","81,360","84,014","86,741","89,585","92,350","95,775","99,464","103,401","107,583","112,028","116,667","121,433","126,231","131,228","136,051","140,906","145,767","150,649","155,589","160,653","165,930","171,684","177,735","184,260","191,209","198,506"
65 a 69,"36,125","37,143","38,206","39,263","40,370","41,526","42,685","43,897","45,199","46,554","47,966","49,465","51,016","52,616","54,254","55,917","57,340","58,804","60,303","61,825","63,375","65,171","66,990","68,833","70,703","72,603","74,546","76,548","78,642","80,859","83,221","85,739","88,423","91,274","94,308","97,542","100,973","104,628","108,495","112,568","116,806","121,178","125,638","130,157","134,618","138,998","143,330","147,671","152,004","156,356","160,734","165,174","169,670","174,426","179,288","184,332","189,554","195,114","201,150","207,716","214,775","222,234","229,954","237,787","245,638","253,515","261,751","270,293","279,358","288,801","298,704","308,879","319,475","330,494","341,905","353,648","365,675","377,947","390,475","403,311","416,338","430,159","445,006","461,038","478,375","497,324","517,455","538,635","560,655","583,475","606,673","630,096","653,628","677,259","700,861","724,717","749,008","774,190","800,531","828,430","858,168"
65,"8,376","8,611","8,856","9,058","9,324","9,598","9,837","10,135","10,441","10,760","11,093","11,436","11,792","12,157","12,533","12,915","13,030","13,420","13,816","14,214","14,618","15,023","15,433","15,844","16,258","16,680","17,113","17,562","18,033","18,532","19,066","19,644","20,266","20,927","21,638","22,400","23,201","24,058","24,946","25,878","26,825","27,789","28,762","29,735","30,671","31,569","32,423","33,272","34,112","34,981","35,857","36,748","37,632","38,587","39,591","40,694","41,873","43,149","44,537","46,034","47,604","49,189","50,739","52,252","53,765","55,353","57,299","59,195","61,215","63,328","65,547","67,862","70,243","72,690","75,194","77,741","80,331","82,947","85,637","88,442","91,172","94,552","98,196","102,085","106,218","110,612","115,198","119,912","124,659","129,604","134,379","139,185","144,000","148,836","153,732","158,751","163,981","169,685","175,684","182,152","189,041"
66,"7,782","8,001","8,229","8,467","8,664","8,923","9,189","9,422","9,711","10,008","10,317","10,640","10,971","11,314","11,664","12,021","12,386","12,494","12,866","13,242","13,621","14,006","14,392","14,786","15,182","15,582","15,990","16,414","16,858","17,328","17,828","18,361","18,936","19,550","20,201","20,899","21,646","22,432","23,273","24,143","25,053","25,976","26,914","27,859","28,787","29,684","30,562","31,422","32,279","33,129","34,010","34,901","35,809","36,747","37,719","38,736","39,832","41,016","42,310","43,714","45,226","46,809","48,408","49,973","51,502","53,032","54,633","56,578","58,489","60,466","62,535","64,708","66,978","69,314","71,717","74,178","76,684","79,234","81,810","84,461","87,228","89,920","93,255","96,851","100,691","104,773","109,113","113,644","118,303","122,997","127,888","132,612","137,367","142,134","146,922","151,770","156,743","161,924","167,575","173,519","179,928"
67,"7,206","7,409","7,622","7,843","8,074","8,266","8,517","8,774","9,001","9,280","9,568","9,866","10,177","10,496","10,823","11,154","11,494","11,841","11,940","12,292","12,648","13,007","13,373","13,741","14,119","14,500","14,886","15,284","15,703","16,146","16,616","17,115","17,645","18,212","18,815","19,454","20,137","20,870","21,639","22,461","23,311","24,195","25,091","26,000","26,897","27,784","28,659","29,541","30,408","31,274","32,137","33,032","33,939","34,903","35,859","36,845","37,856","38,957","40,160","41,470","42,889","44,414","46,009","47,619","49,198","50,741","52,284","53,889","55,845","57,712","59,646","61,669","63,795","66,019","68,310","70,668","73,086","75,550","78,059","80,595","83,206","85,932","88,587","91,875","95,422","99,210","103,239","107,522","111,997","116,598","121,236","126,071","130,740","135,444","140,159","144,897","149,695","154,618","159,748","165,343","171,229"
68,"6,649","6,837","7,033","7,239","7,454","7,677","7,864","8,107","8,354","8,575","8,844","9,121","9,408","9,706","10,009","10,317","10,630","10,953","11,281","11,370","11,701","12,037","12,377","12,725","13,076","13,438","13,805","14,181","14,572","14,989","15,432","15,900","16,395","16,917","17,474","18,064","18,689","19,357","20,074","20,825","21,625","22,451","23,306","24,173","25,038","25,898","26,769","27,647","28,534","29,409","30,284","31,161","32,070","33,026","34,001","34,967","35,946","36,961","38,080","39,300","40,625","42,056","43,591","45,195","46,815","48,405","49,956","51,502","53,122","55,030","56,853","58,740","60,717","62,798","64,976","67,221","69,534","71,909","74,330","76,797","79,292","81,862","84,546","87,163","90,403","93,898","97,632","101,606","105,830","110,246","114,787","119,366","124,141","128,754","133,403","138,063","142,749","147,494","152,365","157,441","162,976"
69,"6,112","6,285","6,466","6,656","6,854","7,062","7,278","7,459","7,692","7,931","8,144","8,402","8,668","8,943","9,225","9,510","9,800","10,096","10,400","10,707","10,787","11,098","11,415","11,737","12,068","12,403","12,752","13,107","13,476","13,864","14,279","14,719","15,181","15,668","16,180","16,725","17,300","17,911","18,563","19,261","19,992","20,767","21,565","22,390","23,225","24,063","24,917","25,789","26,671","27,563","28,446","29,332","30,220","31,163","32,118","33,090","34,047","35,031","36,063","37,198","38,431","39,766","41,207","42,748","44,358","45,984","47,579","49,129","50,687","52,265","54,123","55,900","57,742","59,673","61,708","63,840","66,040","68,307","70,639","73,016","75,440","77,893","80,422","83,064","85,641","88,831","92,273","95,951","99,866","104,030","108,383","112,862","117,380","122,091","126,645","131,236","135,840","140,469","145,159","149,975","154,994"
70 a 74,"23,199","23,853","24,547","25,276","26,044","26,847","27,688","28,566","29,440","30,353","31,301","32,252","33,246","34,306","35,390","36,488","37,624","38,787","39,973","41,182","42,412","43,442","44,504","45,598","46,727","47,901","49,289","50,732","52,238","53,821","55,489","57,251","59,104","61,061","63,115","65,274","67,540","69,924","72,440","75,105","77,930","80,909","84,051","87,346","90,903","94,678","98,730","102,870","107,093","111,375","115,720","120,114","124,551","128,952","133,262","137,526","141,917","146,458","151,207","156,143","161,319","166,781","172,610","178,872","185,606","192,777","200,299","208,018","215,841","223,484","230,950","238,547","246,256","254,214","262,537","271,300","280,357","289,831","299,723","310,009","320,636","331,556","342,736","354,184","365,947","377,914","390,644","404,336","419,138","435,160","452,676","471,305","490,930","511,365","532,567","554,148","575,974","597,936","620,025","642,122","664,496"
70,"5,595","5,754","5,921","6,095","6,278","6,468","6,668","6,876","7,051","7,275","7,504","7,709","7,956","8,210","8,470","8,734","9,002","9,275","9,554","9,838","10,126","10,197","10,490","10,789","11,094","11,409","11,730","12,068","12,415","12,779","13,163","13,574","14,007","14,461","14,936","15,436","15,967","16,527","17,122","17,757","18,434","19,141","19,889","20,659","21,466","22,288","23,134","23,989","24,864","25,749","26,644","27,534","28,427","29,329","30,254","31,190","32,152","33,111","34,110","35,156","36,303","37,545","38,887","40,334","41,877","43,488","45,114","46,702","48,258","49,773","51,307","53,117","54,848","56,645","58,532","60,520","62,607","64,761","66,983","69,270","71,603","73,983","76,394","78,881","81,479","84,015","87,153","90,540","94,160","98,015","102,115","106,402","110,816","115,270","119,915","124,406","128,936","133,480","138,050","142,681","147,439"
71,"5,097","5,242","5,394","5,555","5,722","5,897","6,080","6,271","6,471","6,639","6,853","7,072","7,270","7,506","7,745","7,987","8,232","8,485","8,741","9,003","9,269","9,539","9,604","9,880","10,163","10,453","10,754","11,063","11,392","11,732","12,091","12,469","12,871","13,295","13,737","14,199","14,686","15,203","15,747","16,325","16,940","17,594","18,275","18,995","19,755","20,557","21,396","22,241","23,097","23,972","24,860","25,757","26,651","27,543","28,416","29,313","30,237","31,198","32,169","33,179","34,235","35,390","36,637","37,982","39,429","40,970","42,576","44,189","45,776","47,287","48,759","50,250","52,011","53,698","55,451","57,293","59,237","61,278","63,385","65,562","67,804","70,093","72,428","74,796","77,240","79,793","82,287","85,371","88,702","92,261","96,053","100,087","104,306","108,652","113,038","117,614","122,039","126,505","130,986","135,494","140,064"
72,"4,619","4,749","4,888","5,033","5,187","5,347","5,514","5,689","5,872","6,062","6,223","6,427","6,636","6,825","7,047","7,269","7,495","7,725","7,962","8,202","8,448","8,697","8,951","9,011","9,271","9,541","9,817","10,106","10,405","10,726","11,058","11,409","11,777","12,169","12,581","13,011","13,459","13,931","14,433","14,960","15,518","16,112","16,740","17,396","18,114","18,874","19,699","20,536","21,380","22,234","23,109","23,996","24,894","25,774","26,628","27,464","28,348","29,270","30,239","31,218","32,235","33,297","34,455","35,704","37,047","38,490","40,022","41,613","43,217","44,756","46,222","47,651","49,101","50,815","52,459","54,168","55,967","57,866","59,861","61,922","64,054","66,250","68,494","70,784","73,109","75,508","78,016","80,467","83,496","86,769","90,265","93,992","97,958","102,106","106,380","110,696","115,200","119,557","123,956","128,371","132,814"
73,"4,162","4,278","4,403","4,534","4,673","4,820","4,972","5,131","5,297","5,471","5,651","5,804","5,998","6,196","6,374","6,580","6,786","6,999","7,215","7,436","7,660","7,891","8,125","8,364","8,421","8,666","8,923","9,187","9,465","9,755","10,067","10,389","10,729","11,086","11,467","11,865","12,282","12,715","13,171","13,657","14,165","14,702","15,272","15,875","16,534","17,256","18,043","18,863","19,697","20,537","21,389","22,262","23,146","24,021","24,857","25,667","26,492","27,371","28,299","29,271","30,255","31,274","32,338","33,497","34,743","36,080","37,513","39,027","40,605","42,158","43,649","45,071","46,459","47,870","49,537","51,139","52,805","54,561","56,416","58,366","60,381","62,467","64,617","66,816","69,060","71,341","73,695","76,157","78,564","81,537","84,749","88,181","91,841","95,737","99,811","104,011","108,254","112,683","116,970","121,299","125,646"
74,"3,727","3,830","3,941","4,059","4,184","4,315","4,454","4,599","4,749","4,906","5,070","5,240","5,386","5,569","5,754","5,918","6,109","6,303","6,501","6,703","6,909","7,118","7,334","7,554","7,778","7,832","8,065","8,308","8,561","8,829","9,110","9,410","9,720","10,050","10,394","10,763","11,146","11,548","11,967","12,406","12,873","13,360","13,875","14,421","15,034","15,703","16,458","17,241","18,055","18,883","19,718","20,565","21,433","22,285","23,107","23,892","24,688","25,508","26,390","27,319","28,291","29,275","30,293","31,355","32,510","33,749","35,074","36,487","37,985","39,510","41,013","42,458","43,837","45,186","46,558","48,180","49,741","51,365","53,078","54,889","56,794","58,763","60,803","62,907","65,059","67,257","69,493","71,801","74,216","76,578","79,494","82,643","86,009","89,600","93,423","97,421","101,545","105,711","110,063","114,277","118,533"
75 a 79,"12,965","13,308","13,685","14,092","14,528","14,991","15,479","15,997","16,542","17,114","17,707","18,331","18,979","19,624","20,287","20,955","21,614","22,296","23,014","23,749","24,502","25,286","26,084","26,903","27,744","28,606","29,327","30,089","30,899","31,769","32,706","33,810","34,973","36,211","37,524","38,908","40,367","41,900","43,509","45,195","46,959","48,801","50,725","52,739","55,038","57,637","60,644","63,876","67,308","70,919","74,670","78,539","82,500","86,418","90,161","93,748","97,341","100,992","104,746","108,653","112,729","117,001","121,446","126,068","130,852","135,848","141,091","146,622","152,502","158,653","165,058","171,640","178,291","184,896","191,391","197,777","204,322","211,005","217,934","225,208","232,886","240,854","249,210","257,956","267,076","276,523","286,252","296,248","306,504","317,068","327,843","339,320","351,673","365,026","379,478","395,274","412,083","429,809","448,287","467,484","487,055"
75,"3,315","3,406","3,504","3,608","3,720","3,838","3,962","4,092","4,229","4,371","4,518","4,673","4,832","4,970","5,140","5,310","5,460","5,638","5,819","6,003","6,190","6,382","6,576","6,777","6,983","7,193","7,245","7,465","7,696","7,939","8,197","8,466","8,753","9,052","9,370","9,701","10,056","10,425","10,810","11,213","11,634","12,080","12,546","13,037","13,597","14,224","14,929","15,678","16,453","17,260","18,080","18,907","19,747","20,578","21,373","22,141","22,910","23,698","24,518","25,398","26,323","27,290","28,269","29,282","30,337","31,483","32,708","34,012","35,405","36,849","38,324","39,777","41,176","42,514","43,825","45,159","46,736","48,256","49,839","51,509","53,275","55,134","57,056","59,050","61,107","63,212","65,362","67,553","69,813","72,179","74,495","77,351","80,435","83,733","87,251","90,998","94,917","98,961","103,048","107,318","111,455"
76,"2,928","3,007","3,094","3,186","3,283","3,388","3,499","3,615","3,737","3,865","3,997","4,136","4,281","4,429","4,557","4,711","4,866","5,005","5,170","5,336","5,506","5,678","5,856","6,036","6,223","6,414","6,610","6,661","6,869","7,089","7,322","7,567","7,823","8,099","8,387","8,692","9,008","9,348","9,702","10,070","10,455","10,856","11,280","11,723","12,228","12,802","13,465","14,162","14,902","15,668","16,465","17,275","18,094","18,896","19,669","20,409","21,158","21,916","22,699","23,514","24,387","25,303","26,259","27,228","28,229","29,272","30,402","31,603","32,883","34,223","35,615","37,039","38,442","39,797","41,094","42,367","43,664","45,196","46,675","48,217","49,842","51,563","53,376","55,250","57,196","59,204","61,260","63,362","65,504","67,715","70,031","72,298","75,092","78,108","81,334","84,777","88,442","92,279","96,239","100,242","104,426"
77,"2,567","2,635","2,709","2,791","2,877","2,967","3,065","3,169","3,276","3,390","3,508","3,632","3,761","3,896","4,031","4,146","4,286","4,428","4,555","4,707","4,859","5,014","5,173","5,336","5,503","5,675","5,851","6,034","6,085","6,282","6,491","6,712","6,943","7,189","7,453","7,728","8,018","8,320","8,644","8,982","9,331","9,696","10,076","10,477","10,931","11,447","12,051","12,706","13,393","14,123","14,878","15,664","16,464","17,248","17,993","18,712","19,430","20,164","20,913","21,687","22,491","23,351","24,253","25,193","26,146","27,130","28,154","29,257","30,430","31,657","32,947","34,286","35,660","37,014","38,324","39,581","40,816","42,075","43,562","45,000","46,499","48,080","49,754","51,518","53,344","55,240","57,198","59,204","61,255","63,346","65,506","67,770","69,986","72,713","75,658","78,809","82,172","85,752","89,502","93,372","97,287"
78,"2,232","2,289","2,353","2,423","2,499","2,578","2,662","2,752","2,848","2,948","3,053","3,162","3,277","3,396","3,518","3,639","3,743","3,871","4,000","4,116","4,255","4,393","4,535","4,680","4,829","4,982","5,140","5,303","5,473","5,525","5,710","5,907","6,114","6,334","6,569","6,820","7,081","7,356","7,642","7,949","8,269","8,599","8,943","9,300","9,712","10,174","10,718","11,314","11,959","12,634","13,352","14,094","14,868","15,633","16,359","17,050","17,744","18,443","19,164","19,899","20,658","21,447","22,288","23,170","24,088","25,020","25,980","26,976","28,048","29,168","30,345","31,584","32,871","34,194","35,499","36,765","37,981","39,178","40,400","41,840","43,235","44,691","46,227","47,853","49,567","51,342","53,186","55,092","57,045","59,043","61,082","63,189","65,397","67,559","70,217","73,087","76,158","79,436","82,928","86,585","90,360"
79,"1,923","1,971","2,025","2,084","2,149","2,220","2,291","2,369","2,452","2,540","2,631","2,728","2,828","2,933","3,041","3,149","3,259","3,354","3,470","3,587","3,692","3,819","3,944","4,074","4,206","4,342","4,481","4,626","4,776","4,934","4,986","5,158","5,340","5,537","5,745","5,967","6,204","6,451","6,711","6,981","7,270","7,570","7,880","8,202","8,570","8,990","9,481","10,016","10,601","11,234","11,895","12,599","13,327","14,063","14,767","15,436","16,099","16,771","17,452","18,155","18,870","19,610","20,377","21,195","22,052","22,943","23,847","24,774","25,736","26,756","27,827","28,954","30,142","31,377","32,649","33,905","35,125","36,300","37,458","38,642","40,035","41,386","42,797","44,285","45,862","47,525","49,246","51,037","52,887","54,785","56,729","58,712","60,763","62,913","65,018","67,603","70,394","73,381","76,570","79,967","83,527"
