,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050
Ambos sexos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,"93,374","95,884","98,487","101,193","104,023","107,015","110,202","114,002","117,729","121,599","125,608","129,757","134,045","138,469","143,004","147,641","152,387","157,251","162,169","167,112","172,037","176,619","181,767","186,958","192,121","197,204","202,209","207,180","212,192","217,323","222,852","228,327","233,968","239,758","245,769","252,083","258,690","265,541","272,738","279,882","287,099","294,303","301,423","308,399","315,362","322,284","328,996","335,182","340,694","345,515","349,685","353,006","355,556","357,532","363,931","370,301","382,510","383,443","375,075","361,722","361,883","361,928","361,952","362,050","362,225","362,452","362,741","366,751","367,149","370,694","373,009","373,728","374,628","375,662","376,427","374,596","371,745","368,584","365,143","361,486","357,686","353,818","349,951","346,140","342,428","338,848","335,420","332,162","329,074","326,151","323,391","320,775","318,288","315,906","313,606","311,349","309,112","306,876","304,628","302,350","300,039"
7,"90,079","92,499","95,004","97,599","100,298","103,119","106,103","109,280","113,065","116,777","120,629","124,614","128,730","132,975","137,327","141,763","146,298","150,950","155,703","160,498","165,317","170,127","174,614","179,683","184,814","189,901","194,931","199,926","204,948","210,073","215,348","221,012","226,607","232,309","238,132","244,166","250,503","257,133","264,005","271,216","278,352","285,529","292,661","299,697","306,781","313,922","320,982","327,698","333,900","339,438","344,299","348,525","351,908","354,566","356,554","362,976","369,359","381,578","382,523","374,174","360,842","361,015","361,074","361,110","361,218","361,407","361,650","361,957","365,984","366,404","369,973","372,316","373,062","373,987","375,045","375,833","374,026","371,198","368,058","364,638","361,001","357,221","353,372","349,522","345,728","342,033","338,468","335,054","331,811","328,737","325,826","323,078","320,474","317,998","315,628","313,338","311,090","308,863","306,635","304,397","302,127"
8,"87,050","89,388","91,803","94,303","96,891","99,583","102,396","105,372","108,539","112,310","116,005","119,834","123,788","127,863","132,032","136,278","140,596","145,022","149,548","154,161","158,814","163,499","168,195","172,590","177,581","182,627","187,655","192,671","197,717","202,856","208,132","213,550","219,339","224,993","230,725","236,567","242,618","248,972","255,618","262,497","269,692","276,775","283,864","290,894","298,014","305,256","312,519","319,580","326,308","332,536","338,116","343,036","347,328","350,861","353,561","355,604","362,037","368,428","380,652","381,608","373,275","359,961","360,146","360,213","360,259","360,379","360,582","360,842","361,165","365,213","365,660","369,257","371,628","372,402","373,352","374,434","375,246","373,462","370,657","367,538","364,140","360,522","356,762","352,932","349,099","345,323","341,643","338,094","334,695","331,466","328,405","325,507","322,772","320,179","317,714","315,355","313,075","310,837","308,619","306,400","304,171"
9,"84,220","86,480","88,814","91,224","93,719","96,301","98,986","101,793","104,762","107,919","111,674","115,348","119,148","123,061","127,059","131,118","135,233","139,433","143,721","148,095","152,553","157,060","161,618","166,208","170,516","175,416","180,397","185,407","190,475","195,641","200,936","206,359","211,906","217,753","223,434","229,182","235,036","241,101","247,467","254,115","260,970","268,103","275,086","282,061","289,130","296,368","303,692","310,953","318,026","324,780","331,053","336,699","341,692","346,194","349,813","352,608","354,659","361,095","367,492","379,719","380,682","372,362","359,063","359,254","359,327","359,382","359,513","359,731","360,010","360,356","364,432","364,910","368,536","370,935","371,736","372,713","373,820","374,656","372,896","370,113","367,017","363,640","360,042","356,302","352,491","348,676","344,917","341,253","337,720","334,336","331,121","328,074","325,188","322,466","319,885","317,432","315,083","312,813","310,585","308,377","306,167"
10 a 14,"382,986","393,250","403,848","414,781","426,065","437,714","449,750","462,206","475,132","488,606","502,713","517,939","534,061","551,054","568,717","586,866","604,905","623,131","641,510","660,053","678,831","697,966","717,556","737,684","758,351","779,144","800,626","822,985","846,425","871,161","897,540","924,809","952,708","980,830","1,009,251","1,037,735","1,066,356","1,095,225","1,124,539","1,154,302","1,184,853","1,216,178","1,248,327","1,280,983","1,314,087","1,348,023","1,382,623","1,417,944","1,453,906","1,490,139","1,526,227","1,561,613","1,595,588","1,628,682","1,659,413","1,687,057","1,710,286","1,729,136","1,748,875","1,770,255","1,800,133","1,828,177","1,845,854","1,843,797","1,835,548","1,815,192","1,793,974","1,781,236","1,782,029","1,783,047","1,784,466","1,790,001","1,795,928","1,805,271","1,816,719","1,828,598","1,837,358","1,846,725","1,853,283","1,855,666","1,854,447","1,849,142","1,839,341","1,825,097","1,808,859","1,791,578","1,773,564","1,755,154","1,736,667","1,718,372","1,700,493","1,683,197","1,666,604","1,650,776","1,635,751","1,621,515","1,608,032","1,595,238","1,583,050","1,571,349","1,560,013"
10,"81,541","83,728","85,987","88,316","90,722","93,212","95,789","98,470","101,270","104,232","107,377","111,112","114,757","118,519","122,354","126,243","130,165","134,157","138,214","142,343","146,555","150,860","155,232","159,678","164,173","168,388","173,219","178,180","183,240","188,429","193,753","199,196","204,748","210,351","216,222","221,916","227,674","233,539","239,612","245,977","252,597","259,384","266,410","273,271","280,240","287,383","294,660","301,980","309,251","316,351","323,153","329,497","335,223","340,477","345,101","348,846","351,645","353,696","360,136","366,535","378,763","379,731","371,422","358,133","358,328","358,406","358,472","358,616","358,852","359,157","359,533","363,642","364,152","367,808","370,236","371,064","372,068","373,201","374,061","372,325","369,565","366,492","363,137","359,559","355,839","352,047","348,250","344,508","340,862","337,344","333,976","330,775","327,742","324,869","322,159","319,590","317,149","314,811","312,551","310,333","308,135"
11,"78,981","81,098","83,284","85,540","87,865","90,268","92,754","95,327","98,004","100,798","103,750","106,879","110,586","114,194","117,881","121,610","125,362","129,159","133,007","136,904","140,869","144,926","149,095","153,352","157,700","162,101","166,246","171,056","176,065","181,244","186,588","192,058","197,627","203,233","208,858","214,739","220,441","226,208","232,078","238,148","244,481","251,031","257,709","264,610","271,417","278,410","285,543","292,815","300,146","307,444","314,595","321,472","327,901","333,927","339,333","344,109","347,851","350,644","352,696","359,136","365,534","377,759","378,730","370,425","357,143","357,341","357,426","357,502","357,661","357,925","358,265","358,678","362,821","363,365","367,052","369,511","370,368","371,400","372,559","373,445","371,734","368,999","365,950","362,617","359,061","355,362","351,589","347,812","344,088","340,459","336,957","333,605","330,419","327,400","324,541","321,844","319,287","316,858","314,531","312,283","310,075"
12,"76,516","78,567","80,684","82,867","85,122","87,444","89,844","92,328","94,898","97,570","100,355","103,293","106,398","110,068","113,605","117,190","120,787","124,415","128,069","131,758","135,494","139,306","143,227","147,281","151,440","155,694","160,024","164,148","169,004","174,127","179,457","184,942","190,535","196,154","201,781","207,414","213,301","219,008","224,779","230,644","236,681","242,943","249,383","255,936","262,743","269,532","276,474","283,600","290,882","298,241","305,592","312,820","319,785","326,540","332,734","338,305","343,072","346,801","349,592","351,641","358,077","364,470","376,689","377,655","369,352","356,076","356,277","356,370","356,457","356,648","356,950","357,332","357,784","361,963","362,543","366,262","368,753","369,641","370,702","371,889","372,802","371,117","368,408","365,384","362,074","358,541","354,864","351,111","347,355","343,649","340,039","336,553","333,218","330,048","327,044","324,199","321,515","318,972","316,555","314,239","312,003"
13,"74,132","76,118","78,168","80,284","82,466","84,719","87,040","89,438","91,920","94,487","97,152","99,923","102,839","105,909","109,510","112,950","116,406","119,881","123,368","126,865","130,394","133,978","137,656","141,464","145,419","149,484","153,667","157,974","162,141","167,108","172,377","177,845","183,447","189,090","194,727","200,361","205,998","211,889","217,598","223,361","229,194","235,159","241,311","247,626","254,031","260,762","267,442","274,376","281,511","288,821","296,236","303,670","310,992","318,323","325,275","331,659","337,216","341,963","345,684","348,468","350,511","356,937","363,321","375,525","376,483","368,179","354,911","355,117","355,216","355,338","355,571","355,919","356,345","356,838","361,055","361,672","365,425","367,950","368,870","369,962","371,178","372,119","370,461","367,780","364,782","361,496","357,988","354,333","350,602","346,868","343,181","339,590","336,122","332,805","329,651","326,663","323,833","321,163","318,634","316,230","313,926"
14,"71,816","73,739","75,725","77,774","79,890","82,071","84,323","86,643","89,040","91,519","94,079","96,732","99,481","102,364","105,367","108,873","112,185","115,519","118,852","122,183","125,519","128,896","132,346","135,909","139,619","143,477","147,470","151,627","155,975","160,253","165,365","170,768","176,351","182,002","187,663","193,305","198,942","204,581","210,472","216,172","221,900","227,661","233,514","239,540","245,656","251,936","258,504","265,173","272,116","279,282","286,651","294,154","301,687","309,415","316,970","324,138","330,502","336,032","340,767","344,475","347,248","349,280","355,692","362,059","374,242","375,190","366,888","353,631","353,843","353,979","354,147","354,430","354,826","355,297","355,833","360,089","360,744","364,533","367,091","368,045","369,168","370,415","371,385","369,757","367,103","364,132","360,873","357,390","353,760","350,052","346,340","342,674","339,103","335,654","332,356","329,219","326,248","323,434","320,779","318,264","315,874"
